chr6	hg19_tsRNA	exon	28763813	28763833	1000	-	.	gene_id "5P_tRNA-Ala-AGC-1-1"; transcript_id "5P_tRNA-Ala-AGC-1-1"
chr6	hg19_tsRNA	exon	26687464	26687484	1000	+	.	gene_id "5P_tRNA-Ala-AGC-10-1"; transcript_id "5P_tRNA-Ala-AGC-10-1"
chr6	hg19_tsRNA	exon	26572165	26572185	1000	-	.	gene_id "5P_tRNA-Ala-AGC-11-1"; transcript_id "5P_tRNA-Ala-AGC-11-1"
chr6	hg19_tsRNA	exon	26682694	26682714	1000	+	.	gene_id "5P_tRNA-Ala-AGC-12-1"; transcript_id "5P_tRNA-Ala-AGC-12-1"
chr6	hg19_tsRNA	exon	26796079	26796099	1000	-	.	gene_id "5P_tRNA-Ala-AGC-12-2"; transcript_id "5P_tRNA-Ala-AGC-12-2"
chr6	hg19_tsRNA	exon	58182752	58182772	1000	-	.	gene_id "5P_tRNA-Ala-AGC-12-3"; transcript_id "5P_tRNA-Ala-AGC-12-3"
chr6	hg19_tsRNA	exon	26705585	26705605	1000	+	.	gene_id "5P_tRNA-Ala-AGC-13-1"; transcript_id "5P_tRNA-Ala-AGC-13-1"
chr6	hg19_tsRNA	exon	58164701	58164721	1000	-	.	gene_id "5P_tRNA-Ala-AGC-13-2"; transcript_id "5P_tRNA-Ala-AGC-13-2"
chr6	hg19_tsRNA	exon	26673569	26673589	1000	+	.	gene_id "5P_tRNA-Ala-AGC-14-1"; transcript_id "5P_tRNA-Ala-AGC-14-1"
chr14	hg19_tsRNA	exon	89445421	89445441	1000	+	.	gene_id "5P_tRNA-Ala-AGC-15-1"; transcript_id "5P_tRNA-Ala-AGC-15-1"
chr6	hg19_tsRNA	exon	58196696	58196716	1000	-	.	gene_id "5P_tRNA-Ala-AGC-16-1"; transcript_id "5P_tRNA-Ala-AGC-16-1"
chr6	hg19_tsRNA	exon	28806293	28806313	1000	-	.	gene_id "5P_tRNA-Ala-AGC-2-1"; transcript_id "5P_tRNA-Ala-AGC-2-1"
chr6	hg19_tsRNA	exon	28831534	28831554	1000	-	.	gene_id "5P_tRNA-Ala-AGC-2-2"; transcript_id "5P_tRNA-Ala-AGC-2-2"
chr6	hg19_tsRNA	exon	28574912	28574932	1000	+	.	gene_id "5P_tRNA-Ala-AGC-3-1"; transcript_id "5P_tRNA-Ala-AGC-3-1"
chr6	hg19_tsRNA	exon	28626086	28626106	1000	-	.	gene_id "5P_tRNA-Ala-AGC-4-1"; transcript_id "5P_tRNA-Ala-AGC-4-1"
chr6	hg19_tsRNA	exon	28678345	28678365	1000	+	.	gene_id "5P_tRNA-Ala-AGC-5-1"; transcript_id "5P_tRNA-Ala-AGC-5-1"
chr6	hg19_tsRNA	exon	28779921	28779941	1000	-	.	gene_id "5P_tRNA-Ala-AGC-6-1"; transcript_id "5P_tRNA-Ala-AGC-6-1"
chr6	hg19_tsRNA	exon	28687460	28687480	1000	+	.	gene_id "5P_tRNA-Ala-AGC-7-1"; transcript_id "5P_tRNA-Ala-AGC-7-1"
chr2	hg19_tsRNA	exon	27274061	27274081	1000	+	.	gene_id "5P_tRNA-Ala-AGC-8-1"; transcript_id "5P_tRNA-Ala-AGC-8-1"
chr8	hg19_tsRNA	exon	67026403	67026423	1000	+	.	gene_id "5P_tRNA-Ala-AGC-8-2"; transcript_id "5P_tRNA-Ala-AGC-8-2"
chr6	hg19_tsRNA	exon	26730716	26730736	1000	+	.	gene_id "5P_tRNA-Ala-AGC-9-1"; transcript_id "5P_tRNA-Ala-AGC-9-1"
chr6	hg19_tsRNA	exon	26771363	26771383	1000	-	.	gene_id "5P_tRNA-Ala-AGC-9-2"; transcript_id "5P_tRNA-Ala-AGC-9-2"
chr6	hg19_tsRNA	exon	26553710	26553730	1000	+	.	gene_id "5P_tRNA-Ala-CGC-1-1"; transcript_id "5P_tRNA-Ala-CGC-1-1"
chr6	hg19_tsRNA	exon	28641685	28641705	1000	-	.	gene_id "5P_tRNA-Ala-CGC-2-1"; transcript_id "5P_tRNA-Ala-CGC-2-1"
chr2	hg19_tsRNA	exon	157257260	157257280	1000	+	.	gene_id "5P_tRNA-Ala-CGC-3-1"; transcript_id "5P_tRNA-Ala-CGC-3-1"
chr6	hg19_tsRNA	exon	28697071	28697091	1000	+	.	gene_id "5P_tRNA-Ala-CGC-4-1"; transcript_id "5P_tRNA-Ala-CGC-4-1"
chr6	hg19_tsRNA	exon	28757619	28757639	1000	-	.	gene_id "5P_tRNA-Ala-TGC-1-1"; transcript_id "5P_tRNA-Ala-TGC-1-1"
chr6	hg19_tsRNA	exon	28611201	28611221	1000	+	.	gene_id "5P_tRNA-Ala-TGC-2-1"; transcript_id "5P_tRNA-Ala-TGC-2-1"
chr5	hg19_tsRNA	exon	180633847	180633867	1000	+	.	gene_id "5P_tRNA-Ala-TGC-3-1"; transcript_id "5P_tRNA-Ala-TGC-3-1"
chr12	hg19_tsRNA	exon	125406373	125406393	1000	-	.	gene_id "5P_tRNA-Ala-TGC-3-2"; transcript_id "5P_tRNA-Ala-TGC-3-2"
chr12	hg19_tsRNA	exon	125424491	125424511	1000	+	.	gene_id "5P_tRNA-Ala-TGC-4-1"; transcript_id "5P_tRNA-Ala-TGC-4-1"
chr6	hg19_tsRNA	exon	28785084	28785104	1000	-	.	gene_id "5P_tRNA-Ala-TGC-5-1"; transcript_id "5P_tRNA-Ala-TGC-5-1"
